from_venue	to_venue	to_display_name	mentions	same_discipline	to_coverage	to_tier	to_region
cognitive-psychology	journal-of-economic-perspectives	Journal of Economic Perspectives	2	no	depth	field	international
colm	iclr	ICLR	15	yes	depth	field	international
colm	neurips	NeurIPS	11	yes	depth	field	international
colm	acl	ACL	8	yes	depth	field	international
colm	emnlp	EMNLP	8	yes	depth	field	international
colm	icml	ICML	5	yes	depth	field	international
colt	neurips	NeurIPS	12	yes	depth	field	international
colt	icml	ICML	11	yes	depth	field	international
colt	aistats	AISTATS	10	yes	depth	field	international
colt	focs	FOCS	7	yes	depth	field	international
colt	stoc	STOC	7	yes	depth	field	international
colt	journal-of-machine-learning-research	Journal of Machine Learning Research	6	no	breadth	field	international
colt	soda	SODA	2	yes	depth	field	international
communication-research	journal-of-communication	Journal of Communication	10	yes	depth	field	international
comparative-political-studies	american-political-science-review	American Political Science Review	10	yes	depth	top-3 polisci	international
comparative-political-studies	american-journal-of-political-science	American Journal of Political Science	9	yes	depth	top-3 polisci	international
comparative-political-studies	british-journal-of-political-science	British Journal of Political Science	7	yes	depth	field	international
comparative-political-studies	international-organization	International Organization	3	no	depth	field	international
comparative-political-studies	world-politics	World Politics	3	yes	depth	field	international
computer-science-journal	chinese-journal-of-computers	Chinese Journal of Computers	4	yes	depth	field	international
conext	sigcomm	SIGCOMM	32	yes	depth	field	international
conext	nsdi	NSDI	26	yes	depth	field	international
conext	imc	IMC	23	yes	depth	field	international
conext	acm-conext	ACM CoNEXT	13	no	breadth	field	international
conext	sigmetrics	SIGMETRICS	11	yes	depth	field	international
conext	mobicom	MobiCom	7	yes	depth	field	international
conext	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	4	no	breadth	field	international
conext	acm-sigcomm	ACM SIGCOMM	4	no	breadth	field	international
conference-on-computational-natural-language-learning	acl	ACL	2	no	depth	field	international
conference-on-health-inference-and-learning	kdd	KDD	2	no	depth	field	international
conference-on-lifelong-learning-agents	iclr	ICLR	2	no	depth	field	international
conference-on-lifelong-learning-agents	icml	ICML	2	no	depth	field	international
conference-on-lifelong-learning-agents	mlsys	MLSys	2	no	depth	field	international
conference-on-lifelong-learning-agents	neurips	NeurIPS	2	no	depth	field	international
conservation-biology	ecology-letters	Ecology Letters	10	no	breadth	field	international
conservation-biology	global-change-biology	Global Change Biology	10	yes	depth	field	international
conservation-biology	siam-international-conference-on-data-mining	SIAM International Conference on Data Mining	7	no	breadth	field	international
contemporary-accounting-research	accounting-research	Accounting Research	23	yes	depth	field	china
contemporary-accounting-research	journal-of-accounting-research	Journal of Accounting Research	8	yes	depth	top-3 accounting	international
contemporary-accounting-research	the-accounting-review	The Accounting Review	8	yes	depth	top-3 accounting	international
contemporary-finance-and-economics	journal-of-jiangxi-university-of-finance-and-economics	江西财经大学学报	3	yes	breadth	field	china
